lon	lat	pop	x_idx	y_idx
-87.7143496444	41.9550224159	640	14	8
-87.711325482	41.9550224159	720	15	8
-87.7083013195	41.9550224159	355	16	8
-87.7052771571	41.9550224159	499	17	8
-87.7022529946	41.9550224159	500	18	8
-87.6992288322	41.9550224159	546	19	8
-87.6962046697	41.9550224159	0	20	8
-87.6931805072	41.9550224159	106	21	8
-87.6901563448	41.9550224159	378	22	8
-87.6871321823	41.9550224159	388	23	8
-87.6841080199	41.9550224159	156	24	8
-87.6810838574	41.9550224159	506	25	8
-87.678059695	41.9550224159	464	26	8
-87.6750355325	41.9550224159	309	27	8
-87.6720113701	41.9550224159	430	28	8
-87.6689872076	41.9550224159	449	29	8
-87.6659630452	41.9550224159	775	30	8
-87.6629388827	41.9550224159	240	31	8
-87.6599147203	41.9550224159	0	32	8
-87.6568905578	41.9550224159	36	33	8
-87.6538663953	41.9550224159	96	34	8
-87.6508422329	41.9550224159	265	35	8
-87.6478180704	41.9550224159	1281	36	8
-87.644793908	41.9550224159	1087	37	8
-87.6417697455	41.9550224159	0	38	8
-87.6387455831	41.9550224159	0	39	8
-87.6357214206	41.9550224159	0	40	8
-87.7566879188	41.9527741119	811	0	9
-87.7536637563	41.9527741119	326	1	9
-87.7506395939	41.9527741119	159	2	9
-87.7476154314	41.9527741119	423	3	9
-87.744591269	41.9527741119	34	4	9
-87.7415671065	41.9527741119	185	5	9
-87.7385429441	41.9527741119	374	6	9
-87.7355187816	41.9527741119	275	7	9
-87.7324946191	41.9527741119	323	8	9
-87.7294704567	41.9527741119	76	9	9
-87.7264462942	41.9527741119	273	10	9
-87.7234221318	41.9527741119	73	11	9
-87.7203979693	41.9527741119	223	12	9
-87.7173738069	41.9527741119	228	13	9
-87.7143496444	41.9527741119	485	14	9
-87.711325482	41.9527741119	461	15	9
-87.7083013195	41.9527741119	490	16	9
-87.7052771571	41.9527741119	393	17	9
-87.7022529946	41.9527741119	385	18	9
-87.6992288322	41.9527741119	324	19	9
-87.6962046697	41.9527741119	66	20	9
-87.6931805072	41.9527741119	0	21	9
-87.6901563448	41.9527741119	226	22	9
-87.6871321823	41.9527741119	332	23	9
-87.6841080199	41.9527741119	275	24	9
-87.6810838574	41.9527741119	355	25	9
-87.678059695	41.9527741119	364	26	9
-87.6750355325	41.9527741119	313	27	9
-87.6720113701	41.9527741119	463	28	9
-87.6689872076	41.9527741119	425	29	9
-87.6659630452	41.9527741119	769	30	9
-87.6629388827	41.9527741119	947	31	9
-87.6599147203	41.9527741119	310	32	9
-87.6568905578	41.9527741119	728	33	9
-87.6538663953	41.9527741119	790	34	9
-87.6508422329	41.9527741119	666	35	9
-87.6478180704	41.9527741119	3318	36	9
-87.644793908	41.9527741119	434	37	9
-87.6417697455	41.9527741119	0	38	9
-87.6387455831	41.9527741119	0	39	9
-87.6357214206	41.9527741119	0	40	9
-87.7566879188	41.9505258078	1221	0	10
-87.7536637563	41.9505258078	438	1	10
-87.7506395939	41.9505258078	451	2	10
-87.7476154314	41.9505258078	436	3	10
-87.744591269	41.9505258078	506	4	10
-87.7415671065	41.9505258078	151	5	10
-87.7385429441	41.9505258078	240	6	10
-87.7355187816	41.9505258078	129	7	10
-87.7324946191	41.9505258078	191	8	10
-87.7294704567	41.9505258078	193	9	10
-87.7264462942	41.9505258078	171	10	10
-87.7234221318	41.9505258078	181	11	10
-87.7203979693	41.9505258078	385	12	10
-87.7173738069	41.9505258078	431	13	10
-87.7143496444	41.9505258078	386	14	10
-87.711325482	41.9505258078	575	15	10
-87.7083013195	41.9505258078	493	16	10
-87.7052771571	41.9505258078	582	17	10
-87.7022529946	41.9505258078	485	18	10
-87.6992288322	41.9505258078	646	19	10
-87.6962046697	41.9505258078	72	20	10
-87.6931805072	41.9505258078	151	21	10
-87.6901563448	41.9505258078	138	22	10
-87.6871321823	41.9505258078	458	23	10
-87.6841080199	41.9505258078	789	24	10
-87.6810838574	41.9505258078	628	25	10
-87.678059695	41.9505258078	476	26	10
-87.6750355325	41.9505258078	130	27	10
-87.6720113701	41.9505258078	870	28	10
-87.6689872076	41.9505258078	861	29	10
-87.6659630452	41.9505258078	911	30	10
-87.6629388827	41.9505258078	593	31	10
-87.6599147203	41.9505258078	664	32	10
-87.6568905578	41.9505258078	470	33	10
-87.6538663953	41.9505258078	910	34	10
-87.6508422329	41.9505258078	1475	35	10
-87.6478180704	41.9505258078	461	36	10
-87.644793908	41.9505258078	1155	37	10
-87.6417697455	41.9505258078	0	38	10
-87.6387455831	41.9505258078	0	39	10
-87.6357214206	41.9505258078	0	40	10
-87.7566879188	41.9482775038	1112	0	11
-87.7536637563	41.9482775038	424	1	11
-87.7506395939	41.9482775038	423	2	11
-87.7476154314	41.9482775038	504	3	11
-87.744591269	41.9482775038	767	4	11
-87.7415671065	41.9482775038	2	5	11
-87.7385429441	41.9482775038	310	6	11
-87.7355187816	41.9482775038	274	7	11
-87.7324946191	41.9482775038	372	8	11
-87.7294704567	41.9482775038	270	9	11
-87.7264462942	41.9482775038	388	10	11
-87.7234221318	41.9482775038	127	11	11
-87.7203979693	41.9482775038	197	12	11
-87.7173738069	41.9482775038	530	13	11
-87.7143496444	41.9482775038	778	14	11
-87.711325482	41.9482775038	566	15	11
-87.7083013195	41.9482775038	719	16	11
-87.7052771571	41.9482775038	999	17	11
-87.7022529946	41.9482775038	847	18	11
-87.6992288322	41.9482775038	176	19	11
-87.6962046697	41.9482775038	0	20	11
-87.6931805072	41.9482775038	100	21	11
-87.6901563448	41.9482775038	124	22	11
-87.6871321823	41.9482775038	270	23	11
-87.6841080199	41.9482775038	290	24	11
-87.6810838574	41.9482775038	568	25	11
-87.678059695	41.9482775038	642	26	11
-87.6750355325	41.9482775038	269	27	11
-87.6720113701	41.9482775038	439	28	11
